ANO,MES,EMPRESA,ORIGEM,DESTINO
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCX
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
